,X,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId
63,431,6.83E+14,Bihari language interpreter needed,9Nmi,9Nmi.00,3.62E+14,6.83E+14
64,432,6.83E+14,Armenian language interpreter needed,9Nmk,9Nmk.00,3.62E+14,6.83E+14
65,433,6.86E+14,Sundanese language interpreter needed,9NnC,9NnC.00,3.64E+14,6.86E+14
66,434,6.86E+14,Samoan language interpreter needed,9NnD,9NnD.00,3.64E+14,6.86E+14
67,435,6.87E+14,Uighur language interpreter needed,9NnH,9NnH.00,3.64E+14,6.87E+14
68,436,6.87E+14,Occitan language interpreter needed,9NnL,9NnL.00,3.64E+14,6.87E+14
69,437,6.87E+14,Oriya language interpreter needed,9NnJ,9NnJ.00,3.64E+14,6.87E+14
70,438,6.88E+14,Romansh language interpreter needed,9NnN,9NnN.00,3.64E+14,6.88E+14
71,439,6.87E+14,Sango language interpreter needed,9NnG,9NnG.00,3.64E+14,6.87E+14
72,441,6.78E+14,Latvian language interpreter needed,9NmC,9NmC.00,3.60E+14,6.78E+14
73,442,6.78E+14,Kannada language interpreter needed,9NmD,9NmD.00,3.60E+14,6.78E+14
74,443,6.82E+14,Fijian language interpreter needed,9NmW,9NmW.00,3.62E+14,6.82E+14
75,444,6.83E+14,Burmese language interpreter needed,9Nmm,9Nmm.00,3.62E+14,6.83E+14
76,445,6.65E+14,Romanian language interpreter needed,9NUy,9NUy.00,3.54E+14,6.65E+14
77,446,6.85E+14,Telugu language interpreter needed,9Nn4,9Nn4.00,3.63E+14,6.85E+14
78,447,6.86E+14,Swati language interpreter needed,9Nn8,9Nn8.00,3.64E+14,6.86E+14
79,448,6.86E+14,Southern Sotho language interpreter needed,9Nn9,9Nn9.00,3.64E+14,6.86E+14
80,449,6.87E+14,Quechua language interpreter needed,9NnF,9NnF.00,3.64E+14,6.87E+14
81,450,6.88E+14,Xhosa language interpreter needed,9NnP,9NnP.00,3.65E+14,6.88E+14
82,451,6.93E+14,Greenlandic language interpreter needed,9Nmc-1,9Nmc.11,3.62E+14,6.93E+14
83,817,6.83E+14,Aymara language interpreter needed,9Nmn,9Nmn.00,3.63E+14,6.83E+14
84,818,6.85E+14,Punjabi language interpreter needed,9NUc-1,9NUc.11,2.04E+14,6.85E+14
85,820,6.79E+14,Kazakh language interpreter needed,9NmH,9NmH.00,3.60E+14,6.79E+14
86,833,6.44E+14,Persian language interpreter needed,9NUC-1,9NUC.11,2.03E+14,6.44E+14
87,834,6.82E+14,Esperanto language interpreter needed,9NmY,9NmY.00,3.62E+14,6.82E+14
